year,month,gs1,ebp,ff4_tc,ipgr,infl
2003,11,1.34,-0.540053,-0.0087097,0.753699999999981,0.0541000000000622
2003,12,1.31,-0.49322,0.0037096,-0.0824000000000069,0.269900000000007
2004,1,1.24,-0.711418,0.0019355,0.291200000000003,0.430299999999988
2004,2,1.24,-0.286728,0.004355,0.564100000000053,0.21449999999993
2004,3,1.19,-0.533865,-0.0025806,-0.537400000000048,0.214000000000055
2004,4,1.43,-0.740573,-0.0024195,0.406600000000026,0.160199999999918
2004,5,1.78,-0.323436,-0.0045161,0.724100000000021,0.426000000000045
2004,6,2.12,-0.333673,-0.0008171,-0.794400000000053,0.371300000000019
2004,7,2.1,-0.306482,-0.0096667,0.780300000000011,0.105800000000045
2004,8,2.02,-0.461368,0.0283799,0.177500000000009,0.0528999999999087
2004,9,2.12,-0.598777,0.0082767,0.040300000000002,0.316599999999994
2004,10,2.23,-0.574809,-0.0066667,0.950300000000027,0.525500000000079
2004,11,2.5,-0.701047,-0.0069931,0.199399999999969,0.470500000000015
2004,12,2.67,-0.85373,-0.0059001,0.673299999999983,0
2005,1,2.86,-0.806862,-0.0020969,0.410500000000013,-0.0520999999999958
2005,2,3.03,-1.09208,0,0.625300000000038,0.416599999999903
2005,3,3.3,-0.730689,0.0032258,-0.0622000000000185,0.363200000000006
2005,4,3.32,-0.53511,0.0067742,0.0878999999999905,0.310200000000009
2005,5,3.33,-0.386019,0.0093548,0.182299999999998,-0.0516000000000076
2005,6,3.36,-0.564386,0.0011451,0.418000000000006,0.0516000000000076
2005,7,3.64,-0.653742,0.0145001,-0.137299999999982,0.617700000000013
2005,8,3.87,-0.721005,-0.0074193,0.12519999999995,0.613799999999969
2005,9,3.85,-0.555723,0.0084193,-1.97269999999997,1.36740000000009
2005,10,4.18,-0.455134,0.0190001,1.23540000000003,0.150800000000004
2005,11,4.33,-0.386568,0,0.970699999999965,-0.503500000000031
2005,12,4.35,-0.394374,-0.0030646,0.568300000000022,0
2006,1,4.45,-0.457407,-0.0011289,0.09699999999998,0.603899999999953
2006,2,4.68,-0.348597,0.0241935,0.0803999999999974,0.050200000000018
2006,3,4.77,-0.515825,0.003871,0.249900000000025,0.150300000000016
2006,4,4.9,-0.529815,0.026129,0.386300000000006,0.499599999999987
2006,5,5,-0.400727,0.0248387,-0.111199999999997,0.298400000000015
2006,6,5.16,-0.449069,0.0084946,0.384399999999971,0.248100000000022
2006,7,5.22,-0.378634,-0.0233333,0.0484000000000151,0.543599999999969
2006,8,5.08,-0.423245,-0.0270967,0.206700000000012,0.44259999999997
2006,9,4.97,-0.522988,-0.0079031,-0.131799999999998,-0.491899999999987
2006,10,5.01,-0.540093,-0.0011292,-0.0939000000000192,-0.444799999999987
2006,11,5.01,-0.52448,-0.003871,-0.116300000000024,0.0496000000000549
2006,12,4.94,-0.661607,-0.0032258,1.01890000000003,0.543099999999981
2007,1,5.06,-0.678331,-0.0019355,-0.47829999999999,0.165700000000015
2007,2,5.05,-0.735689,-0.0048387,1.10939999999999,0.387099999999919
2007,3,4.92,-0.48584,-0.005326,0.0741999999999621,0.518700000000081
2007,4,4.93,-0.485028,-0.0096838,0.723900000000015,0.299599999999941
2007,5,4.91,-0.736344,0.0037096,0.0597000000000207,0.412400000000048
2007,6,4.96,-0.495324,0.0012903,0.00489999999996371,0.231400000000008
2007,7,4.96,-0.084556,0,0.0276000000000067,0.177899999999909
2007,8,4.47,0.082753,0,0.12620000000004,0.0309000000000879
2007,9,4.14,-0.001109,-0.0736668,0.442700000000002,0.422799999999938
2007,10,4.1,-0.081753,-0.0953655,-0.490200000000016,0.307900000000018
2007,11,3.5,0.214839,0.0290322,0.579999999999984,0.782799999999952
2007,12,3.26,0.385475,0.0203228,0.0146000000000299,0.289400000000001
2008,1,2.71,0.67884,-0.0390322,-0.320100000000025,0.344200000000001
2008,2,2.05,0.848258,-0.2062905,-0.196199999999976,0.241500000000087
2008,3,1.54,1.091471,0.0338709,-0.292599999999993,0.357099999999946
2008,4,1.74,0.59478,0.0386291,-0.783500000000004,0.231200000000058
2008,5,2.06,0.628826,-0.0725,-0.466800000000035,0.589999999999918
2008,6,2.42,0.704856,0.003,-0.204000000000008,1.04240000000004
2008,7,2.28,1.056176,0.0120001,-0.453199999999981,0.711599999999976
2008,8,2.18,1.150368,-0.026129,-1.6157,-0.149000000000001
2008,9,1.91,1.494335,0.056129,-4.30290000000002,0.0855000000000246
2008,10,1.42,2.970945,0.0474272,0.824300000000051,-0.863600000000019
2008,11,1.07,2.001412,-0.0474172,-1.16570000000002,-1.78639999999996
2008,12,0.49,2.23929,-0.095489,-2.86290000000002,-0.826700000000073
2009,1,0.44,2.176283,-0.0895209,-2.2756,0.261700000000019
2009,2,0.62,2.601959,0,-0.642799999999966,0.410100000000057
2009,3,0.64,2.132363,-0.0045161,-1.548,-0.141100000000051
2009,4,0.55,1.926129,-0.0051508,-0.841499999999996,0.0631000000000768
2009,5,0.5,0.983595,0.0046668,-1.02540000000005,0.160199999999918
2009,6,0.51,0.632751,0,-0.368899999999996,0.838300000000004
